id,gender,age,spend,location,month
2102,F,28,74.26,Massachusetts,nov
2103,F,75,212.8,Delaware,jul
2104,F,23,274.98,California,nov
2105,M,23,69.39,North Carolina,feb
2106,F,52,144.95,New York,mar
2107,F,46,286.58,Ohio,apr
2108,M,18,59.67,Massachusetts,jan
2109,F,88,216.24,California,may
2110,F,24,124.0,Florida,dec
2111,F,30,297.09,North Carolina,feb
2112,F,24,148.9,Oregon,apr
2113,M,82,41.61,Oklahoma,jul
2114,F,25,283.36,Oregon,sep
2115,M,77,56.76,Michigan,dec
2116,M,19,131.67,Colorado,feb
2117,F,22,175.4,Illinois,apr
2118,F,23,193.1,Alabama,apr
2119,F,24,10.16,Wisconsin,jun
2120,M,29,43.0,Ohio,aug
2121,F,24,145.16,Georgia,apr
2122,F,39,290.09,North Carolina,nov
2123,F,22,106.84,North Carolina,dec
2124,F,43,195.2,Pennsylvania,nov
2125,F,50,231.94,Oregon,nov
2126,M,85,172.84,Maryland,dec
2127,F,20,215.23,California,aug
2128,F,24,216.59,Arizona,dec
2129,F,23,223.66,California,dec
2130,F,24,254.96,Illinois,jun
2131,F,46,196.92,Michigan,nov
2132,F,45,212.98,California,dec
2133,F,36,210.04,Ohio,apr
2134,F,20,85.16,North Carolina,nov
2135,F,27,262.34,Missouri,apr
2136,F,18,297.62,Oklahoma,apr
2137,F,63,97.83,Rhode Island,apr
2138,F,73,239.96,Tennessee,jul
2139,F,26,30.72,Minnesota,oct
2140,F,20,105.17,Indiana,apr
2141,M,18,71.1,Connecticut,oct
2142,M,68,197.31,Oregon,sep
2143,F,18,257.06,California,sep
2144,F,19,203.71,North Dakota,dec
2145,F,87,261.73,Oklahoma,nov
2146,F,19,31.67,California,oct
2147,M,78,158.37,New York,nov
2148,F,39,218.56,Alabama,dec
2149,F,20,211.32,Illinois,jan
2150,M,82,90.28,Indiana,dec
2151,F,21,263.56,New York,apr
2152,F,33,83.53,South Carolina,dec
2153,M,21,103.96,Florida,oct
2154,F,20,260.8,Texas,oct
2155,M,77,103.74,Illinois,apr
2156,F,21,174.2,North Carolina,apr
2157,F,45,266.03,Missouri,apr
2158,F,99,37.19,Tennessee,nov
2159,F,22,124.87,Indiana,apr
2160,F,33,122.43,Pennsylvania,aug
2161,F,25,193.08,Massachusetts,oct
2162,F,54,113.51,California,dec
2163,F,22,195.19,Oregon,jan
2164,F,22,214.88,Rhode Island,may
2165,F,53,214.54,New Jersey,feb
2166,F,20,183.09,California,mar
2167,M,21,278.49,Virginia,nov
2168,F,26,72.7,California,nov
2169,F,46,207.65,Nevada,dec
2170,F,72,137.54,North Carolina,dec
2171,M,20,102.44,Wisconsin,feb
2172,F,55,147.66,Illinois,sep
2173,F,28,29.15,Florida,jun
2174,F,39,57.67,Texas,aug
2175,M,19,164.39,California,nov
2176,F,22,41.25,New Mexico,apr
2177,F,23,296.58,North Carolina,apr
2178,F,61,183.57,Arizona,dec
2179,F,23,57.17,Georgia,jan
2180,M,89,29.38,New York,jan
2181,M,49,254.06,Georgia,nov
2182,F,36,51.28,Texas,may
2183,F,23,12.26,Pennsylvania,dec
2184,F,46,38.39,Wisconsin,dec
2185,F,68,188.24,New Jersey,dec
2186,F,34,135.38,Georgia,dec
2187,M,38,143.55,Iowa,apr
2188,M,24,40.98,New York,oct
2189,F,77,76.15,New York,dec
2190,F,21,36.44,California,oct
2191,F,27,183.21,South Dakota,jul
2192,F,20,41.27,Minnesota,feb
2193,M,55,84.02,New York,oct
2194,M,21,251.39,Maryland,nov
2195,M,40,238.52,Pennsylvania,oct
2196,F,24,91.35,Georgia,sep
2197,F,43,109.18,Nevada,nov
2198,M,75,13.84,Florida,feb
2199,F,20,81.63,Texas,dec
2200,M,23,209.38,Texas,nov
2201,M,75,72.26,Colorado,oct
2202,M,40,93.33,Pennsylvania,nov
2203,F,21,264.75,Virginia,sep
2204,M,20,137.29,Florida,dec
2205,M,55,297.46,North Carolina,nov
2206,M,19,23.97,California,sep
2207,F,89,187.37,Arkansas,oct
2208,F,21,216.16,California,apr
2209,F,51,280.74,Texas,nov
2210,F,25,266.13,Ohio,aug
2211,M,77,169.17,New York,dec
2212,F,29,130.72,Pennsylvania,apr
2213,F,21,288.24,Florida,feb
2214,F,18,89.38,South Carolina,dec
2215,M,80,109.39,Oregon,nov
2216,F,68,97.76,Florida,nov
2217,M,72,206.66,Virginia,dec
2218,M,19,249.31,Michigan,nov
2219,M,20,128.92,Colorado,nov
2220,F,23,134.68,Massachusetts,sep
2221,F,91,137.28,New Jersey,oct
2222,F,59,38.48,Arkansas,nov
2223,M,46,58.63,Texas,jul
2224,M,20,255.35,Virginia,nov
2225,F,30,222.67,Florida,nov
2226,M,41,31.6,Florida,dec
2227,F,69,192.47,Missouri,sep
2228,M,49,115.47,Georgia,may
2229,F,20,32.36,New York,apr
2230,M,46,88.05,Connecticut,apr
2231,F,36,263.03,Texas,may
2232,M,76,53.35,Washington,may
2233,F,36,200.72,Texas,jun
2234,F,99,255.45,Texas,dec
2235,M,49,192.7,Rhode Island,dec
2236,F,22,198.08,Pennsylvania,sep
2237,F,58,69.69,Texas,apr
2238,F,19,259.94,Georgia,apr
2239,F,22,169.32,Alabama,may
2240,F,89,276.53,Maine,oct
2241,M,24,153.16,California,jan
2242,F,25,118.22,New Jersey,may
2243,F,37,54.1,New Jersey,jun
2244,F,18,239.72,California,jun
2245,F,90,110.66,New York,nov
2246,F,46,112.63,California,dec
2247,M,55,88.15,Ohio,nov
2248,F,34,212.26,California,jul
2249,F,54,43.27,Arkansas,sep
2250,F,96,22.77,Texas,dec
2251,F,82,98.44,Virginia,aug
2252,M,79,229.75,Texas,feb
2253,F,24,186.99,Indiana,dec
2254,F,21,206.3,California,apr
2255,F,84,92.99,Arizona,apr
2256,F,20,56.71,Pennsylvania,jul
2257,M,49,63.2,California,nov
2258,F,76,235.74,Mississippi,aug
2259,F,18,282.67,Utah,jun
2260,F,50,113.74,Illinois,aug
2261,M,38,255.1,Idaho,jun
2262,F,50,100.32,Washington,apr
2263,F,63,77.05,New York,mar
2264,F,70,189.9,Pennsylvania,sep
2265,F,24,55.32,New York,dec
2266,M,28,192.64,Nebraska,dec
2267,F,19,293.62,Virginia,sep
2268,F,42,264.25,Washington,sep
2269,F,71,251.01,California,mar
2270,M,19,169.32,Minnesota,feb
2271,F,26,215.53,Mississippi,nov
2272,F,30,116.9,New Jersey,dec
2273,M,23,202.14,Colorado,jan
2274,F,87,203.82,Colorado,aug
2275,M,81,216.54,Massachusetts,dec
2276,F,20,219.66,Ohio,jun
2277,F,24,168.2,California,feb
2278,M,85,254.92,South Carolina,jun
2279,M,41,270.68,Virginia,apr
2280,M,24,129.28,Iowa,dec
2281,F,19,129.73,Florida,nov
2282,F,68,82.13,Michigan,apr
2283,F,53,231.52,Alabama,nov
2284,M,52,249.98,Alabama,feb
2285,M,20,223.23,Minnesota,dec
2286,M,22,157.08,Nevada,aug
2287,M,22,89.47,California,feb
2288,F,31,111.85,Michigan,dec
2289,F,20,82.01,Wyoming,nov
2290,F,43,177.05,California,feb
2291,M,86,250.67,Alabama,aug
2292,M,21,218.71,Wisconsin,may
2293,F,24,114.71,Alabama,oct
2294,F,20,26.14,Pennsylvania,jul
2295,F,54,257.24,Indiana,mar
2296,M,66,87.75,Virginia,nov
2297,M,26,196.74,Michigan,dec
2298,F,73,190.61,New York,sep
2299,F,19,142.56,Texas,aug
2300,F,23,266.84,Georgia,oct
2301,F,41,283.54,California,apr
2302,F,65,26.44,Ohio,nov
2303,F,56,47.85,Virginia,apr
2304,F,21,217.17,Hawaii,nov
2305,M,47,294.72,Arkansas,apr
2306,F,85,72.47,Florida,nov
2307,F,85,270.28,Michigan,nov
2308,M,22,266.84,Missouri,aug
2309,M,30,79.08,California,jun
2310,M,19,146.49,Florida,apr
2311,F,95,74.72,Illinois,dec
2312,F,37,280.15,Florida,jul
2313,M,24,214.97,Arkansas,feb
2314,M,18,5.74,Texas,nov
2315,F,47,275.18,Tennessee,sep
2316,F,53,181.57,Illinois,oct
2317,M,74,83.25,Delaware,nov
2318,M,27,165.87,Texas,apr
2319,F,84,173.25,Texas,jul
2320,F,77,78.11,Indiana,oct
2321,M,20,221.62,Kentucky,oct
2322,M,20,154.88,Ohio,apr
2323,F,21,59.84,New York,oct
2324,F,23,197.54,New Jersey,mar
2325,M,49,141.97,Kentucky,nov
2326,F,21,213.75,Massachusetts,nov
2327,M,99,170.43,New Jersey,jun
2328,F,55,233.39,Utah,jan
2329,F,20,233.29,Wisconsin,aug
2330,M,24,57.68,Georgia,sep
2331,F,47,99.37,Michigan,sep
2332,M,18,110.12,Oklahoma,feb
2333,F,34,15.5,Pennsylvania,jul
2334,F,40,95.61,California,oct
2335,F,22,52.21,California,oct
2336,F,93,206.55,Texas,oct
2337,F,51,152.44,California,dec
2338,F,36,235.01,New York,nov
2339,F,57,133.33,Pennsylvania,aug
2340,F,50,74.66,Michigan,apr
2341,F,23,80.84,Georgia,apr
2342,F,81,76.2,Missouri,sep
2343,F,47,289.76,Hawaii,nov
2344,F,78,277.68,California,dec
2345,M,21,154.38,New York,mar
2346,F,57,6.07,Washington,feb
2347,M,62,24.75,West Virginia,dec
2348,F,22,17.67,California,jun
2349,M,24,191.65,Ohio,aug
2350,M,67,74.98,Connecticut,nov
2351,M,62,129.05,Illinois,apr
2352,F,24,280.19,North Dakota,mar
2353,M,54,64.25,Pennsylvania,apr
2354,F,21,158.08,Pennsylvania,apr
2355,F,20,229.46,Texas,nov
2356,M,24,73.45,Massachusetts,sep
2357,F,37,201.06,Minnesota,feb
2358,M,21,68.29,Michigan,dec
2359,M,56,122.29,Hawaii,aug
2360,M,37,50.61,New York,mar
2361,F,23,273.25,Hawaii,jul
2362,F,81,261.46,Texas,dec
2363,M,51,7.42,Massachusetts,sep
2364,F,38,80.0,Arizona,oct
2365,F,20,175.89,Utah,nov
2366,F,39,11.93,Arkansas,nov
2367,F,68,57.11,California,nov
2368,M,22,273.09,Washington,jan
2369,F,21,261.57,Maryland,mar
2370,M,37,135.7,California,may
2371,F,23,245.41,Mississippi,may
2372,F,24,27.59,New York,dec
2373,M,42,298.62,California,aug
2374,F,20,292.42,Florida,dec
2375,F,20,79.82,Colorado,dec
2376,F,46,188.52,Virginia,oct
2377,M,49,153.11,Illinois,oct
2378,M,23,107.57,Georgia,apr
2379,F,47,188.82,New York,apr
2380,F,18,85.8,North Carolina,sep
2381,F,20,36.77,Missouri,nov
2382,F,19,220.92,North Carolina,sep
2383,F,26,293.59,New Jersey,may
2384,F,55,275.46,Michigan,feb
2385,M,24,165.9,Pennsylvania,oct
2386,F,91,184.07,Kentucky,nov
2387,F,21,251.97,Idaho,nov
2388,M,19,185.01,Texas,nov
2389,F,20,52.29,Virginia,apr
2390,M,52,15.42,Montana,sep
2391,F,63,44.77,California,oct
2392,M,18,59.37,Indiana,apr
2393,F,42,209.03,Georgia,nov
2394,M,22,253.73,California,may
2395,F,28,170.3,North Carolina,aug
2396,F,87,172.45,California,oct
2397,M,22,59.2,California,dec
2398,M,28,281.03,Texas,feb
2399,F,18,71.2,Texas,jan
2400,F,71,9.25,California,apr
2401,F,31,191.24,North Carolina,dec
2402,M,33,163.24,Indiana,nov
2403,F,33,246.56,Tennessee,dec
2404,F,47,55.05,Pennsylvania,sep
2405,F,57,179.05,Florida,feb
2406,M,29,10.8,Connecticut,nov
2407,F,24,192.48,Indiana,dec
2408,F,18,166.49,Indiana,apr
2409,M,19,283.6,Minnesota,dec
2410,F,50,74.13,Kentucky,nov
2411,M,20,240.12,Illinois,dec
2412,M,21,30.5,Florida,aug
2413,F,93,173.09,California,apr
2414,M,35,184.69,Florida,apr
2415,F,31,262.4,Ohio,dec
2416,F,41,60.73,Texas,apr
2417,F,95,161.24,California,dec
2418,M,20,254.3,Illinois,dec
2419,F,59,15.7,Missouri,aug
2420,F,37,171.36,California,feb
2421,F,42,219.8,Oregon,nov
2422,F,77,157.68,Ohio,dec
2423,M,39,92.31,Washington,jul
2424,F,22,121.34,Michigan,aug
2425,F,18,36.56,Louisiana,nov
2426,M,20,58.31,Florida,sep
2427,M,19,132.32,Georgia,sep
2428,F,19,245.36,Florida,mar
2429,F,29,119.6,Florida,dec
2430,M,42,99.82,Arizona,mar
2431,M,37,118.05,Utah,feb
2432,F,62,31.29,California,jun
2433,F,23,39.59,Pennsylvania,feb
2434,F,21,208.18,Colorado,may
2435,M,20,10.9,New Jersey,sep
2436,M,39,11.86,North Carolina,feb
2437,M,20,211.17,California,jun
2438,F,92,116.69,Connecticut,jun
2439,F,18,260.17,Texas,apr
2440,M,25,7.55,North Carolina,dec
2441,F,19,93.23,New York,sep
2442,F,24,278.99,Alabama,nov
2443,M,68,168.38,Arizona,apr
2444,F,55,254.89,Arkansas,sep
2445,M,37,202.81,Massachusetts,apr
2446,F,66,238.0,New York,apr
2447,M,43,57.29,Texas,apr
2448,F,18,271.06,Utah,aug
2449,F,56,96.89,New York,nov
2450,F,22,246.66,Missouri,nov
2451,M,41,54.34,California,sep
2452,M,55,184.12,California,sep
2453,M,18,11.27,Georgia,feb
2454,F,48,279.06,New Mexico,jul
2455,F,18,225.97,Florida,mar
2456,F,60,253.29,Washington,oct
2457,F,23,179.18,Nebraska,nov
2458,F,71,11.72,Illinois,jun
2459,F,90,248.53,Ohio,oct
2460,F,74,270.33,Wyoming,jun
2461,M,18,280.74,South Carolina,sep
2462,M,47,22.71,California,sep
2463,F,47,261.5,Oklahoma,jun
2464,F,37,241.36,Louisiana,dec
2465,F,30,81.63,Maine,dec
2466,F,34,278.64,New York,feb
2467,F,19,195.07,West Virginia,apr
2468,F,48,259.79,New York,nov
2469,M,18,86.67,California,apr
2470,M,18,196.17,Missouri,nov
2471,M,23,185.37,North Carolina,feb
2472,F,31,288.65,California,apr
2473,M,44,225.38,California,sep
2474,M,64,9.31,Pennsylvania,nov
2475,F,36,293.56,Virginia,sep
2476,F,47,69.35,Texas,apr
2477,M,81,267.98,California,mar
2478,M,26,211.84,Pennsylvania,nov
2479,F,69,121.85,Maryland,dec
2480,M,53,94.4,Florida,sep
2481,F,51,126.75,Arizona,nov
2482,F,36,149.02,Kentucky,aug
2483,M,21,96.74,Wisconsin,apr
2484,M,91,6.29,Florida,may
2485,F,20,11.03,California,aug
2486,F,59,6.17,Colorado,oct
2487,F,36,170.37,Massachusetts,dec
2488,M,51,99.71,Texas,nov
2489,F,24,122.44,Florida,jan
2490,M,24,90.63,Maryland,aug
2491,M,23,244.73,Minnesota,aug
2492,F,52,147.4,Idaho,dec
2493,F,18,128.85,Georgia,oct
2494,F,61,13.91,South Carolina,nov
2495,F,27,106.46,California,nov
2496,M,23,152.3,Missouri,oct
2497,F,22,127.84,Maryland,oct
2498,M,19,227.07,Connecticut,dec
2499,F,38,233.55,Colorado,dec
2500,M,50,19.65,Texas,may
2501,F,34,137.07,Texas,nov
2502,M,30,172.04,California,dec
2503,M,50,31.0,Nevada,dec
2504,M,36,112.01,Arkansas,sep
2505,M,62,245.09,Nebraska,nov
2506,M,35,17.13,Ohio,may
2507,F,38,87.2,Ohio,feb
2508,F,35,204.73,North Carolina,nov
2509,F,37,235.16,Texas,jun
2510,F,33,85.01,Oklahoma,dec
2511,F,21,116.17,California,aug
2512,F,82,174.83,California,nov
2513,M,33,195.54,Washington,oct
2514,F,34,75.07,Texas,dec
2515,F,41,134.2,Texas,feb
2516,F,39,19.62,Illinois,dec
2517,F,95,153.62,Ohio,dec
2518,F,20,208.07,Oklahoma,nov
2519,F,18,207.19,Florida,jun
2520,F,48,244.78,Colorado,apr
2521,F,20,30.73,North Carolina,nov
2522,M,47,233.14,Illinois,nov
2523,F,76,298.72,North Carolina,aug
2524,F,27,151.84,Illinois,feb
2525,M,79,182.21,Pennsylvania,jan
2526,F,47,233.09,Texas,sep
2527,F,19,299.87,Washington,apr
2528,F,78,42.72,Texas,nov
2529,F,25,123.95,California,jun
2530,F,24,90.82,New Jersey,oct
2531,F,30,240.18,Virginia,apr
2532,F,46,117.07,Nevada,sep
2533,M,18,126.31,California,nov
2534,M,28,90.19,Oregon,feb
2535,F,24,151.15,Oklahoma,jun
2536,F,25,184.12,Maryland,dec
2537,F,49,169.85,Michigan,jun
2538,M,52,12.23,Pennsylvania,apr
2539,F,72,148.68,Texas,apr
2540,F,49,299.2,Illinois,dec
2541,F,57,102.11,California,dec
2542,M,53,183.1,New York,dec
2543,M,33,24.4,Ohio,may
2544,F,41,133.85,South Carolina,nov
2545,F,21,236.11,Georgia,sep
2546,F,49,75.4,Pennsylvania,jan
2547,M,54,20.96,North Carolina,nov
2548,F,20,212.48,Pennsylvania,nov
2549,F,19,151.73,Florida,sep
2550,F,48,96.47,South Carolina,jan
2551,F,21,35.3,Georgia,sep
2552,F,41,197.27,Arizona,sep
2553,M,72,222.72,Minnesota,nov
2554,M,22,194.58,Texas,nov
2555,F,48,282.53,Michigan,may
2556,F,28,183.48,Missouri,feb
2557,F,23,107.71,California,jun
2558,F,23,45.01,California,sep
2559,F,89,148.45,Colorado,dec
2560,M,56,84.46,Pennsylvania,mar
2561,M,28,102.86,Oklahoma,jul
2562,F,18,154.81,California,may
2563,M,24,284.1,Texas,oct
2564,F,44,31.48,Illinois,jul
2565,F,19,133.85,Florida,dec
2566,F,23,126.96,Texas,feb
2567,F,20,171.81,California,sep
2568,F,84,20.0,Kentucky,jun
2569,M,74,150.54,Massachusetts,sep
2570,F,20,298.92,Massachusetts,aug
2571,F,22,291.6,Louisiana,oct
2572,M,23,81.97,Maryland,oct
2573,M,19,100.12,Texas,oct
2574,F,47,227.86,Arizona,jun
2575,F,40,245.14,Indiana,dec
2576,F,95,179.56,Virginia,oct
2577,F,32,22.13,Indiana,dec
2578,F,62,20.1,New York,nov
2579,M,35,83.33,Arizona,nov
2580,F,43,262.95,Indiana,apr
2581,M,47,291.77,Pennsylvania,nov
2582,F,18,274.58,New Jersey,dec
2583,F,96,262.19,Ohio,apr
2584,F,90,138.28,Texas,nov
2585,F,83,59.19,Florida,feb
2586,F,21,109.49,Ohio,aug
2587,M,20,153.81,California,jun
2588,F,38,33.94,New Jersey,apr
2589,F,20,35.74,Idaho,dec
2590,F,73,198.59,Utah,nov
2591,M,96,14.73,California,feb
2592,F,27,170.57,Wisconsin,aug
2593,M,57,286.72,California,feb
2594,F,35,228.68,Oregon,nov
2595,F,24,204.19,Michigan,apr
2596,F,43,280.89,Michigan,sep
2597,F,92,66.37,California,feb
2598,F,32,167.41,Washington,nov
2599,M,20,263.41,California,apr
2600,F,40,135.54,Illinois,apr
2601,M,20,57.68,Michigan,mar
2602,F,19,116.58,California,oct
2603,F,24,210.3,Illinois,feb
2604,M,24,291.79,Connecticut,nov
2605,F,20,53.07,Louisiana,mar
2606,M,19,248.56,Pennsylvania,nov
2607,F,66,113.23,New Jersey,dec
2608,F,26,114.17,Illinois,dec
2609,F,95,23.92,North Carolina,jul
2610,M,24,109.77,Indiana,dec
2611,F,45,157.35,California,jan
2612,F,54,42.12,Texas,nov
2613,F,24,185.72,Minnesota,sep
2614,F,36,271.4,New York,oct
2615,F,26,9.23,California,feb
2616,F,49,201.33,Florida,nov
2617,F,24,161.95,Florida,apr
2618,F,53,183.07,North Carolina,sep
2619,F,20,222.34,New Hampshire,dec
2620,M,39,81.9,Tennessee,nov
2621,F,65,10.77,North Carolina,nov
2622,M,21,78.62,Colorado,mar
2623,M,18,277.01,Alabama,oct
2624,F,18,194.45,Michigan,nov
2625,F,78,276.51,Florida,oct
2626,M,65,216.23,Virginia,dec
2627,F,50,105.38,Wisconsin,oct
2628,F,21,205.2,New York,feb
2629,F,44,141.98,Arkansas,oct
2630,M,23,264.97,Alabama,nov
2631,F,39,52.2,Kentucky,oct
2632,M,22,96.82,Pennsylvania,apr
2633,M,21,146.06,Wisconsin,nov
2634,F,45,289.19,Missouri,aug
2635,M,93,23.09,California,nov
2636,F,48,253.03,Florida,dec
2637,F,81,192.85,Oklahoma,apr
2638,F,19,5.86,California,dec
2639,F,24,281.87,Kansas,nov
2640,F,37,228.1,Florida,sep
2641,F,37,24.26,California,nov
2642,F,27,261.55,New York,dec
2643,M,23,40.68,New Mexico,oct
2644,M,52,68.43,Minnesota,dec
2645,F,73,142.55,New York,oct
2646,M,81,89.83,Connecticut,aug
2647,M,18,142.43,Arizona,apr
2648,F,64,238.74,Ohio,oct
2649,F,99,154.45,Florida,dec
2650,M,44,159.88,North Carolina,jul
2651,M,26,155.86,Tennessee,oct
2652,F,40,15.28,New Jersey,dec
2653,M,23,26.51,North Carolina,feb
2654,M,19,282.45,California,oct
2655,F,30,68.41,Louisiana,nov
2656,F,54,62.72,California,oct
2657,F,53,84.33,Ohio,dec
2658,F,22,269.79,Tennessee,jul
2659,F,24,251.16,Maryland,oct
2660,F,18,105.37,New York,jan
2661,F,24,72.36,Florida,oct
2662,M,64,140.81,California,oct
2663,F,68,38.57,Nevada,oct
2664,F,21,13.22,Iowa,jul
2665,F,23,263.4,California,apr
2666,F,41,44.34,California,apr
2667,F,24,65.05,Idaho,sep
2668,F,78,142.95,Virginia,may
2669,F,18,155.66,Texas,jan
2670,M,19,188.06,Arizona,feb
2671,F,21,164.37,Tennessee,jun
2672,F,70,15.16,Florida,oct
2673,M,21,181.61,Missouri,nov
2674,M,39,119.96,Tennessee,apr
2675,F,46,68.29,New York,nov
2676,F,22,238.65,Massachusetts,oct
2677,M,85,190.37,California,apr
2678,F,54,24.65,Virginia,oct
2679,F,36,111.81,Idaho,apr
2680,F,33,84.91,New York,oct
2681,M,93,190.55,Vermont,dec
2682,F,52,229.31,California,dec
2683,F,22,65.58,Florida,jun
2684,F,21,268.51,Georgia,apr
2685,F,20,5.62,California,oct
2686,F,24,70.01,California,aug
2687,F,30,255.69,Louisiana,dec
2688,F,48,119.42,California,apr
2689,F,41,21.31,California,aug
2690,M,87,132.55,California,feb
2691,F,22,98.14,Oregon,aug
2692,M,19,261.97,Georgia,may
2693,M,36,36.15,Pennsylvania,nov
2694,F,24,212.79,Florida,jun
2695,F,34,93.94,Texas,nov
2696,F,78,113.23,Wisconsin,mar
2697,F,20,213.01,California,nov
2698,F,20,196.43,New Jersey,jun
2699,F,20,102.73,California,apr
2700,M,41,72.7,Michigan,dec
2701,M,29,113.8,Pennsylvania,sep
2702,F,22,57.17,California,apr
2703,F,55,79.56,Illinois,nov
2704,M,20,62.88,Texas,may
2705,F,93,69.87,California,oct
2706,F,24,279.99,Tennessee,apr
2707,M,43,239.26,Pennsylvania,nov
2708,M,44,15.88,Delaware,feb
2709,F,19,122.02,Louisiana,nov
2710,F,24,282.98,New York,dec
2711,F,28,123.47,New Jersey,dec
2712,F,52,195.08,California,sep
2713,F,43,28.9,Illinois,dec
2714,F,92,96.93,New York,nov
2715,F,91,225.44,Nebraska,oct
2716,F,22,229.84,Kansas,dec
2717,M,48,140.44,California,nov
2718,F,44,259.99,Michigan,oct
2719,F,35,137.71,North Carolina,nov
2720,F,70,252.42,California,oct
2721,M,52,82.59,Texas,may
2722,F,44,250.48,Louisiana,sep
2723,F,82,129.81,Florida,apr
2724,M,36,108.78,North Carolina,apr
2725,F,24,288.26,South Dakota,dec
2726,F,91,82.87,Maryland,feb
2727,F,92,155.19,Kentucky,nov
2728,F,27,85.5,Indiana,apr
2729,F,23,217.74,California,dec
2730,F,28,5.17,Illinois,dec
2731,F,56,14.82,Florida,aug
2732,M,46,257.24,Massachusetts,dec
2733,M,48,182.91,Illinois,mar
2734,M,74,220.95,Washington,jun
2735,F,22,251.66,Illinois,nov
2736,M,58,33.47,Alabama,feb
2737,F,31,113.04,South Carolina,apr
2738,F,20,283.44,Texas,aug
2739,F,95,155.18,North Carolina,oct
2740,F,20,69.59,California,dec
2741,F,30,224.33,Texas,mar
2742,F,19,49.65,Michigan,nov
2743,F,21,291.44,Texas,nov
2744,F,37,260.71,Missouri,apr
2745,F,19,14.11,North Carolina,nov
2746,F,29,90.39,Washington,dec
2747,F,34,248.0,Maryland,sep
2748,F,32,225.28,Tennessee,oct
2749,F,37,193.67,Washington,apr
2750,M,23,272.57,Texas,aug
2751,F,50,294.0,Minnesota,feb
2752,F,32,67.22,Indiana,nov
2753,M,34,205.35,Pennsylvania,oct
2754,M,54,200.66,Virginia,nov
2755,F,49,212.25,California,nov
2756,M,29,47.03,Louisiana,sep
2757,M,26,175.52,Pennsylvania,sep
2758,F,19,82.84,Minnesota,sep
2759,M,25,28.86,California,feb
2760,F,19,70.61,Florida,jan
2761,F,29,122.14,Pennsylvania,aug
2762,F,56,278.6,California,aug
2763,F,31,8.75,Washington,nov
2764,M,52,62.37,Maryland,oct
2765,F,20,99.02,Arizona,dec
2766,F,22,184.92,Florida,oct
2767,F,66,153.13,Florida,oct
2768,F,27,147.44,New Jersey,nov
2769,F,63,16.86,Minnesota,nov
2770,M,89,241.77,New York,nov
2771,F,43,250.08,Florida,dec
2772,M,67,272.0,Illinois,apr
2773,F,20,14.45,New York,jun
2774,F,23,28.44,Wisconsin,apr
2775,F,24,41.1,California,feb
2776,F,51,255.89,Tennessee,jun
2777,F,60,251.84,Mississippi,dec
2778,M,42,151.1,Pennsylvania,dec
2779,M,48,80.5,Alabama,dec
2780,F,29,157.39,South Carolina,nov
2781,F,23,165.49,Utah,apr
2782,M,41,162.77,Massachusetts,apr
2783,F,44,7.52,Missouri,dec
2784,M,35,141.73,New York,mar
2785,M,81,168.44,Texas,oct
2786,F,34,69.26,Minnesota,dec
2787,F,54,104.97,West Virginia,nov
2788,F,38,29.69,Idaho,aug
2789,F,21,13.63,Florida,sep
2790,F,30,198.96,Georgia,aug
2791,F,40,164.76,Mississippi,oct
2792,M,55,211.02,California,jul
2793,F,85,240.56,Delaware,apr
2794,F,44,12.5,California,oct
2795,F,21,268.39,New York,sep
2796,M,49,46.61,California,apr
2797,F,40,125.07,Maryland,nov
2798,F,51,31.81,West Virginia,apr
2799,F,84,85.42,Oklahoma,apr
2800,M,33,133.65,California,feb
2801,F,23,254.76,New York,feb
2802,F,69,231.02,Delaware,sep
2803,F,58,117.71,Pennsylvania,aug
2804,F,42,163.63,Michigan,sep
2805,F,18,247.51,Maryland,apr
2806,M,89,200.83,Iowa,oct
2807,F,19,163.01,California,nov
2808,F,47,16.69,Colorado,nov
2809,F,18,169.13,Iowa,oct
2810,M,55,133.09,New Jersey,aug
2811,M,31,26.23,Ohio,may
2812,F,35,27.27,Indiana,nov
2813,M,20,159.98,California,sep
2814,F,18,96.34,Florida,mar
2815,M,52,145.06,Idaho,sep
2816,F,22,246.76,California,jul
2817,M,38,8.27,Kentucky,oct
2818,M,23,79.57,Pennsylvania,nov
2819,F,23,107.71,Washington,apr
2820,F,33,88.82,Arizona,oct
2821,F,21,7.41,Texas,jul
2822,F,20,137.82,Florida,sep
2823,M,22,149.78,Illinois,apr
2824,F,24,45.8,California,feb
2825,M,30,168.08,Kansas,nov
2826,M,39,212.16,Iowa,nov
2827,F,20,239.74,New York,sep
2828,M,23,186.55,Kentucky,oct
2829,F,19,90.33,Kentucky,oct
2830,F,54,284.57,New Jersey,oct
2831,F,83,11.99,Washington,apr
2832,M,30,205.77,Ohio,dec
2833,M,24,252.26,Texas,jul
2834,F,50,256.88,Indiana,nov
2835,F,37,155.25,Massachusetts,sep
2836,M,22,128.62,Michigan,oct
2837,F,20,109.94,Arizona,oct
2838,F,25,30.2,Alaska,oct
2839,F,18,29.63,Florida,oct
2840,M,41,279.89,Texas,feb
2841,F,30,289.54,Florida,dec
2842,F,86,207.22,California,jun
2843,F,41,220.52,New York,apr
2844,F,93,273.05,California,oct
2845,F,21,170.97,Texas,nov
2846,M,77,104.61,New Jersey,nov
2847,F,20,110.56,North Carolina,jul
2848,F,72,291.11,New Jersey,dec
